"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Caribbean small states","CSS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2167","2082","2008","1943","1867","1795","1736","1676","1618","1555","1501","1453","1403","1351","1304","1272","1231","1194","1167","1140","1107","1075","1052","1024","999","979","950","921","895","895","851","823","798","",
"Cuba","CUB","Number of infant deaths","SH.DTH.IMRT","8437","8898","9360","9784","9957","9872","9684","9432","9137","8786","8374","7896","7371","6755","6036","5246","4475","3787","3162","2737","2482","2297","2363","2468","2418","2335","2261","2217","2200","2136","2024","1845","1638","1475","1345","1254","1167","1131","1112","1057","985","907","862","819","750","680","618","584","599","628","631","629","616","598","592","594","591","584","602","613","608","610","622","",
"Curacao","CUW","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cayman Islands","CYM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Cyprus","CYP","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","512","454","393","357","344","320","281","263","256","235","224","219","201","180","164","155","152","151","148","146","145","137","122","110","99","90","81","73","67","62","56","53","51","48","46","43","41","40","38","35","34","32","31","31","32","33","33","34","35","35","35","",
"Czechia","CZE","Number of infant deaths","SH.DTH.IMRT","2724","2685","2722","2905","3126","3147","3049","2965","2918","2950","3039","3132","3249","3452","3653","3629","3424","3184","2944","2687","2344","2032","1861","1756","1690","1646","1581","1501","1436","1374","1328","1278","1165","1042","889","718","596","522","473","431","405","387","374","365","360","359","355","353","352","339","320","297","279","273","275","281","286","288","284","271","253","235","218","",
"Germany","DEU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","26529","23984","21789","19414","16793","14996","13845","12970","12263","11543","10892","10450","9970","9320","8606","7955","7506","7269","7119","6925","6613","6232","5679","5095","4691","4319","4015","3891","3837","3689","3498","3347","3170","2993","2862","2764","2657","2538","2477","2440","2363","2321","2303","2289","2296","2341","2408","2498","2544","2504","2451","2385","2339","2310","",
"Djibouti","DJI","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","1275","1357","1439","1508","1554","1577","1582","1580","1582","1604","1645","1699","1758","1846","1984","2098","2023","1935","1909","1855","1823","1826","1862","1889","1903","1910","1896","1845","1772","1698","1633","1575","1522","1475","1430","1390","1355","1320","1286","1254","1221","1193","1165","1136","1106","1075","",
"Dominica","DMA","Number of infant deaths","SH.DTH.IMRT","","177","144","133","120","107","109","104","89","86","82","72","65","57","51","45","41","37","34","32","30","29","29","29","28","27","27","26","25","26","25","24","25","25","24","22","21","20","19","20","20","20","20","19","19","19","20","21","21","21","21","21","22","22","22","24","25","25","26","27","28","29","30","",
"Denmark","DNK","Number of infant deaths","SH.DTH.IMRT","1577","1572","1553","1560","1544","1501","1468","1355","1183","1060","993","967","931","853","776","728","661","585","545","514","478","443","419","407","406","420","435","444","453","460","457","443","428","410","391","376","355","337","324","315","311","303","290","281","272","262","253","244","236","227","219","211","202","197","196","200","205","206","202","198","195","195","195","",
