"Data Source","World Development Indicators",

"Last Updated Date","2025-01-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Luxembourg","LUX","Number of infant deaths","SH.DTH.IMRT","160","152","143","135","132","127","121","112","101","91","83","78","70","62","57","54","51","49","48","47","47","47","46","43","41","39","38","37","37","36","35","34","33","32","30","29","27","25","23","22","21","19","18","16","16","15","14","14","13","13","13","13","13","13","13","13","13","14","14","14","14","15","15","",
"Latvia","LVA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","557","569","583","604","600","562","533","518","506","505","517","526","517","482","433","384","335","295","264","245","235","222","209","203","191","182","181","178","173","158","136","118","110","105","100","95","89","81","72","64","58","51","46","",
"Macao SAR, China","MAC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"St. Martin (French part)","MAF","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Morocco","MAR","Number of infant deaths","SH.DTH.IMRT","85152","85257","85418","84931","83951","83326","82733","82147","81349","80532","80358","80556","80752","80642","79969","79208","78124","76397","74511","72754","71378","70136","68605","66192","63065","59887","56922","53833","50588","47578","45292","43933","42455","40259","38045","36141","34466","33030","31599","29951","28445","27204","25998","24968","23913","22888","21910","20950","20008","19220","18449","17687","16885","16013","15081","14164","13223","12434","11807","11149","10533","10027","9545","",
"Monaco","MCO","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","3","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1","",
"Moldova","MDA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","3550","3570","3583","3562","3507","3446","3384","3344","3319","3288","3274","3287","3282","3167","3027","2911","2693","2405","2208","2113","2079","2067","2028","1944","1825","1768","1672","1491","1319","1170","1042","956","914","870","827","803","795","798","784","743","701","667","662","665","641","598","555","523","491","473","456","",
"Madagascar","MDG","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","26800","28062","29601","31080","32273","33452","34670","35951","37263","38571","39887","41118","42257","43521","44815","45975","46995","47601","48109","48493","48561","48659","48698","48614","48647","48682","48601","48175","47379","46212","44888","43466","42213","41174","40254","39552","38948","38469","38041","37635","37329","36990","36453","36027","35881","35926","36209","36913","37709","38370","39001","39632","40120","40338","",
"Maldives","MDV","Number of infant deaths","SH.DTH.IMRT","","","","","","1039","1027","1022","1012","998","983","963","939","919","901","876","851","833","815","796","776","759","746","737","725","712","695","672","647","618","584","546","506","466","425","384","341","298","258","221","189","162","142","127","121","106","99","96","95","94","90","85","79","73","67","62","58","53","49","45","41","38","35","",
"Middle East & North Africa","MEA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","428666","412856","398846","382605","363047","342962","323577","307187","294553","283694","273796","264576","255610","247763","241114","235217","230327","226254","222241","218817","216845","217068","220303","218892","214463","208816","198845","191169","185664","176628","168969","164126","157665","",
"Mexico","MEX","Number of infant deaths","SH.DTH.IMRT","176537","174762","173777","173154","172661","171999","171037","169808","168506","167115","165042","162540","160201","157791","154822","150905","146764","142736","138924","134316","128747","123881","119220","114517","110353","106828","103196","98667","93710","89633","86133","82941","80142","77272","74094","70749","67374","63945","60741","58140","55752","53316","51008","48782","46729","44804","42972","41297","39808","38438","37124","35959","34878","33741","32308","30520","28822","27393","26036","24463","23187","21925","20663","",
"Marshall Islands","MHL","Number of infant deaths","SH.DTH.IMRT","60","59","59","58","58","58","59","59","60","61","63","64","65","66","67","69","71","73","75","76","78","79","80","80","81","81","81","80","79","77","74","71","69","67","65","64","64","64","64","65","65","65","65","64","64","63","62","60","58","56","53","50","46","43","39","36","33","30","28","26","23","21","19","",
"Middle income","MIC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7264170","7051096","6791242","6602452","6433436","6271111","6093195","5910223","5732399","5554895","5408216","5259434","5085555","4902615","4742934","4567321","4407870","4268649","4155759","4022650","3899892","3768634","3654168","3534164","3402968","3276826","3171815","3061480","2948761","2837689","2727078","2629136","2547970","",
"North Macedonia","MKD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","2111","2038","1927","1822","1738","1647","1496","1299","1137","1052","974","867","773","667","564","485","430","386","367","357","349","347","317","284","268","254","239","227","222","215","216","225","234","235","219","190","158","130","107","93","82","",
"Mali","MLI","Number of infant deaths","SH.DTH.IMRT","","","","","55492","55432","55432","55428","55436","55372","55247","55242","55232","55216","55158","55043","54854","54611","54367","54238","54082","53757","53251","52589","52061","51580","51136","50602","50109","49685","49182","49253","49545","49587","49822","49801","49783","50162","50680","51451","52127","52517","52910","53291","53819","54366","54594","54611","54721","54930","55199","55402","55559","55348","55104","55080","55031","55047","55070","54940","54889","54884","54876","",
"Malta","MLT","Number of infant deaths","SH.DTH.IMRT","337","306","274","245","218","192","168","156","146","137","132","130","124","119","115","113","109","103","96","92","87","80","79","78","72","68","64","61","60","59","55","52","50","47","42","38","38","38","35","32","30","27","25","25","24","24","23","23","24","24","24","24","25","25","25","25","25","25","24","23","23","23","23","",
"Myanmar","MMR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","119586","119042","118654","117885","116682","115168","113541","112131","110796","109442","108387","107097","105656","104868","104581","103876","101729","98499","95185","91948","89933","88558","86748","84667","82499","80184","77726","75452","73315","71079","69032","67276","66130","65322","63539","60740","57994","55493","53322","63034","48567","46418","44250","42261","40526","39090","37893","36911","35793","34486","33267","32003","30750","29605","",
"Middle East & North Africa (excluding high income)","MNA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","404471","390279","377711","362659","344244","325241","306813","291276","279416","269229","259934","251372","243126","235998","230046","224789","220255","216254","212354","209110","207322","207794","211351","210297","206240","200985","191410","184051","178800","170000","162560","158107","152077","",
"Montenegro","MNE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","233","209","191","172","155","143","138","135","131","129","128","127","125","123","122","122","112","99","94","86","76","69","65","61","57","48","40","36","33","30","28","25","24","22","20","18","17","16","",
"Mongolia","MNG","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","7144","7042","6962","6912","6866","6807","6721","6547","6351","6145","5869","5564","5206","4749","4266","3880","3594","3319","3038","2789","2592","2415","2226","2029","1833","1668","1554","1500","1495","1492","1464","1391","1330","1324","1333","1327","1291","1223","1134","1062","1005","942","876","813","",
"Northern Mariana Islands","MNP","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Mozambique","MOZ","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","65896","67478","68880","70114","71421","73181","75331","77726","80449","83421","86787","90695","94462","96468","97201","98210","99406","100121","100528","100731","99637","98043","97318","96705","96120","95254","94958","95792","95681","94070","91657","88538","85355","82147","79178","76692","74336","71918","69734","66356","65985","65469","67081","65320","64129","63063","62046","60859","60385","59406","59100","58453","58256","57688","57170","",
"Mauritania","MRT","Number of infant deaths","SH.DTH.IMRT","4899","4951","4995","5036","5073","5106","5136","5145","5141","5158","5210","5296","5424","5576","5720","5837","5915","5962","5977","5958","5957","5984","5987","5951","5887","5790","5680","5595","5558","5590","5650","5740","5876","6147","6384","6509","6524","6431","6365","6323","6250","6141","5967","5752","5581","5442","5332","5239","5182","5141","5115","5132","5154","5147","5128","5105","5073","5033","4994","4952","4900","4863","4829","",
"Mauritius","MUS","Number of infant deaths","SH.DTH.IMRT","1826","1810","1741","1644","1573","1585","1679","1732","1622","1432","1309","1297","1317","1286","1199","1086","992","920","863","814","762","703","640","578","524","486","466","467","470","457","441","425","421","426","426","424","422","414","382","360","341","311","293","282","273","266","251","237","224","209","199","198","199","190","180","175","174","181","186","187","188","186","179","",
"Malawi","MWI","Number of infant deaths","SH.DTH.IMRT","","","","","","","45940","46907","47900","48661","49072","49258","49265","49121","48856","48614","48403","48113","47729","47359","47587","47987","48771","50211","52102","54381","56634","58379","60001","61181","61593","61577","60847","59841","58177","55568","53735","53299","52828","51817","49719","46845","43785","40786","38172","36317","35158","34397","32870","31889","30880","28906","27332","25689","24280","23183","22150","21439","20967","20596","20246","19976","19754","",
"Malaysia","MYS","Number of infant deaths","SH.DTH.IMRT","22569","21566","20575","19635","18689","17766","16904","16130","15542","15151","14807","14415","13960","13604","13185","12614","12060","11535","11061","10605","10202","9833","9488","9137","8794","8429","8064","7709","7390","7081","6849","6725","6607","6472","6335","6194","6038","5835","5518","5094","4624","4154","3755","3502","3342","3225","3178","3187","3267","3359","3382","3424","3492","3546","3628","3689","3686","3650","3601","3534","3483","3455","3419","",
"North America","NAC","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","41190","40125","38295","36484","34783","33281","32070","31169","30650","30410","30380","30208","29787","29716","29745","29677","29881","30063","29613","28584","27373","26399","25830","25400","25125","24879","24422","23781","23075","22488","21905","21632","21547","",
"Namibia","NAM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","1887","1954","2017","2091","2170","2254","2341","2427","2505","2563","2606","2588","2562","2535","2452","2399","2385","2366","2351","2354","2371","2409","2555","2678","2674","2661","2649","2637","2614","2604","2617","2611","2569","2500","2433","2397","2365","2208","2136","2197","2252","2373","2320","2395","2532","2423","2276","2280","2254","2206","2167","2120","2066","2025","1974","",
"New Caledonia","NCL","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Niger","NER","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","31320","32413","33629","34906","36131","37347","38471","39448","40244","40941","41836","42979","44314","45868","47569","49406","51585","53729","55393","56864","58010","58805","59654","60224","60367","60240","59816","59477","59208","58917","58665","58513","58312","57863","57080","56144","55122","54106","53207","52598","52333","52369","52758","53379","54077","55160","56485","57930","59702","61542","63263","64991","66626","68043","69395","",
"Nigeria","NGA","Number of infant deaths","SH.DTH.IMRT","","","","","","421479","421918","422124","421509","420668","419501","418929","417805","416117","416109","417197","416672","416581","418684","421181","423084","426730","432286","440688","447297","452920","460600","468603","478092","490680","502399","512575","523296","534684","546143","555253","560831","561839","560352","562238","566363","567749","567362","565099","560962","557244","554999","553138","553816","555541","557182","559617","561691","562047","563621","564969","565847","565509","563274","558717","553991","547735","539461","",
"Nicaragua","NIC","Number of infant deaths","SH.DTH.IMRT","11601","11732","11858","11989","12113","12232","12378","12547","12717","12872","13029","13158","14410","13134","13017","12821","12544","12190","11780","11360","10920","10491","10113","9748","9394","9080","8794","8524","8279","8020","7729","7432","7100","6751","6389","6025","5678","5337","5400","4703","4429","4178","3955","3747","3559","3391","3243","3119","3006","2903","2806","2717","2627","2539","2454","2371","2290","2210","2131","2054","1977","1902","1826","",
"Netherlands","NLD","Number of infant deaths","SH.DTH.IMRT","3949","3887","3839","3755","3697","3572","3403","3281","3181","3144","3051","2827","2579","2304","2068","1900","1782","1698","1635","1584","1555","1525","1458","1402","1384","1386","1391","1382","1351","1318","1309","1293","1244","1189","1140","1092","1051","1037","1041","1042","1040","1021","983","946","896","840","792","752","726","708","687","662","635","613","607","604","598","595","587","584","588","602","610","",
"Norway","NOR","Number of infant deaths","SH.DTH.IMRT","1135","1107","1085","1066","1066","1054","1027","990","953","923","872","824","785","725","666","606","542","487","453","435","418","408","407","408","410","419","429","436","443","440","421","391","354","321","296","279","266","256","245","237","233","221","207","199","193","186","181","176","171","168","161","153","146","139","133","129","125","119","111","106","101","98","95","",
"Nepal","NPL","Number of infant deaths","SH.DTH.IMRT","95785","96620","97044","96886","96498","95746","94841","94141","93595","92858","92005","91351","90486","89273","88807","88703","88471","87905","87264","86604","85428","84240","83342","82413","81440","80072","78359","76605","74622","72384","70184","67961","65630","63948","61962","59237","56067","52520","49363","46509","43846","41160","38476","36249","34286","32116","29935","27982","26325","24855","23532","22421","21495","20600","19743","18876","17977","17107","16267","15560","14925","14406","14025","",
"Nauru","NRU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","15","15","16","16","15","15","15","14","13","13","12","12","11","11","10","10","10","9","9","9","9","10","10","10","11","11","11","10","10","10","9","9","9","9","8","8","8","",
"New Zealand","NZL","Number of infant deaths","SH.DTH.IMRT","1400","1387","1348","1287","1216","1139","1091","1079","1081","1075","1052","1045","1027","971","913","857","806","766","715","681","657","630","610","594","589","584","576","572","571","559","541","515","485","460","432","410","394","380","362","351","345","333","316","310","314","314","314","327","337","330","324","316","303","289","271","267","263","257","247","247","254","250","246","",
"OECD members","OED","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","303861","291237","277540","263528","250265","237098","225344","214272","203538","193995","185230","177272","168256","159775","153593","148251","143646","139405","134769","129528","124137","119415","115415","111798","108477","105190","101646","97879","93637","89192","85263","82091","79417","",
"Oman","OMN","Number of infant deaths","SH.DTH.IMRT","","","","","6046","5857","5671","5480","5297","5120","4946","4804","4678","4566","4461","4422","4402","4359","4283","4195","4094","3968","3817","3642","3440","3228","2987","2733","2497","2274","2070","1883","1706","1542","1397","1263","1151","1058","976","904","831","762","707","661","627","596","571","558","565","592","627","667","710","756","798","829","850","864","863","844","813","776","742","",
"Other small states","OSS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","14193","14037","13893","13476","13020","12634","12220","11885","11561","11317","11099","10854","10624","10398","10142","9875","9273","9033","8867","8533","8177","7814","7581","7341","7167","6857","6586","6421","6117","5885","5741","5516","5340","",
"Pakistan","PAK","Number of infant deaths","SH.DTH.IMRT","371934","369235","365665","361852","358556","356075","354671","354089","354057","353774","354917","357903","361247","365096","369353","374026","379916","387174","395612","404833","416327","433308","452496","467813","477487","483017","490475","499674","507761","514133","517304","517996","516659","508487","499762","492817","485535","478285","470762","464679","458108","454609","453296","447771","440750","434712","429711","430040","431377","430182","429596","427806","423373","415866","404119","389573","376757","366517","357079","348420","340243","331603","323638","",
"Panama","PAN","Number of infant deaths","SH.DTH.IMRT","3063","3082","3101","3117","3115","3100","3085","3060","3018","2959","2877","2781","2670","2549","2429","2329","2246","2179","2126","2088","2058","2033","2005","1972","1930","1874","1825","1779","1735","1699","1668","1626","1594","1581","1574","1571","1570","1566","1557","1542","1516","1483","1446","1410","1384","1353","1313","1278","1254","1230","1206","1195","1194","1186","1176","1172","1164","1147","1111","1054","991","933","875","",
"Peru","PER","Number of infant deaths","SH.DTH.IMRT","62962","63020","62888","62493","61970","61329","60664","60095","59539","59026","65613","57910","57367","56642","55797","54940","54242","53713","53229","52822","52338","51673","50869","49855","48584","47086","45412","43589","41832","40156","38443","36622","34608","32454","30279","28079","25883","23782","21793","19959","18347","16766","15364","14276","13451","12795","12158","11499","10820","10207","9665","9176","8722","8293","7944","7664","7462","7341","7266","7251","7224","7091","6923","",
"Philippines","PHL","Number of infant deaths","SH.DTH.IMRT","84553","84855","84499","84118","83781","83431","82921","82275","81798","81696","82092","82778","83383","83741","84285","85201","86555","88697","91237","92924","93416","93304","93519","94159","93966","92393","90009","87976","86076","82953","79890","77731","75403","72790","70353","68632","67095","65561","64549","63778","62914","62596","62302","61453","60431","59352","58736","58230","57617","57185","56398","54633","53752","53878","53617","52981","52654","52946","53567","54158","54508","54538","54128","",
"Palau","PLW","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","8","9","9","10","10","10","10","11","11","10","10","9","8","7","7","7","7","6","6","6","6","6","5","5","5","5","5","5","5","5","5","5","6","6","6","6","6","",
"Papua New Guinea","PNG","Number of infant deaths","SH.DTH.IMRT","11468","11385","11300","11213","11120","11038","10957","10874","10766","10666","10549","10399","10241","10037","9793","9564","9357","9169","8987","8809","8656","8559","8519","8527","8554","8580","8602","8629","8656","8681","8691","8694","8746","8867","8994","9099","9229","9397","9571","9743","9889","10016","10138","10244","10298","10318","10339","10327","10305","10277","10238","10206","10128","10034","9932","9799","9621","9429","9259","9074","8883","8687","8445","",
"Poland","POL","Number of infant deaths","SH.DTH.IMRT","39772","34295","30255","27361","24653","22074","19993","18482","17610","17173","16971","16757","16317","15900","15708","15660","15710","15424","14914","14694","14467","13923","13608","13558","13061","12207","11208","10242","9542","8893","8330","8025","7596","6963","6410","5673","4930","4337","3777","3335","3059","2876","2675","2513","2428","2384","2359","2336","2333","2280","2166","2002","1852","1738","1660","1606","1570","1585","1564","1485","1418","1381","1359","",
"Pre-demographic dividend","PRE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2036982","2058134","2078599","2108227","2137508","2172272","2197928","2198802","2190556","2187245","2182826","2166952","2144952","2123584","2100149","2074902","2056047","2036605","2017182","2004998","1997884","1985528","1973244","1959387","1949905","1940856","1929213","1916731","1902611","1887806","1872807","1857609","1839807","",
"Puerto Rico","PRI","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Korea, Dem. People's Rep.","PRK","Number of infant deaths","SH.DTH.IMRT","30196","29538","29456","31130","31375","30371","29871","30316","29260","27091","25585","23895","22811","20477","17410","15690","14102","12770","12129","11889","11698","11476","11169","10771","10466","10317","10381","10693","11166","12053","13410","15321","15238","15066","14844","29300","28461","27409","26473","25651","24617","23603","22352","9893","9454","9064","8725","8603","8389","8149","7470","6815","6467","6173","5928","5706","5537","5234","5043","4815","4600","4376","4632","",
"Portugal","PRT","Number of infant deaths","SH.DTH.IMRT","17888","17521","16883","15694","14645","13772","12925","12371","11794","11146","10270","9311","8382","7476","6746","6274","5949","5407","4646","4017","3616","3279","2988","2722","2480","2214","1959","1781","1633","1492","1353","1234","1117","1006","900","810","761","735","705","674","646","591","529","483","435","399","369","342","330","317","306","296","277","256","245","248","254","253","249","242","230","217","207","",
"Paraguay","PRY","Number of infant deaths","SH.DTH.IMRT","4743","4804","4874","4954","5023","5068","5093","5091","5083","5072","5063","5048","5033","5041","5068","5101","5133","5177","5216","5267","5353","5443","5481","5475","5456","5421","5359","5282","5203","5101","4996","4889","4771","4653","4543","4431","4322","4216","4110","4002","3888","3766","3634","3503","3389","3288","3196","3110","3018","2932","2848","2762","2689","2641","2622","2587","2539","2471","2392","2313","2219","2142","2065","",
"West Bank and Gaza","PSE","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","4525","4390","4247","4102","3978","3868","3770","3685","3622","3575","3497","3410","3411","3429","3421","3413","3406","3380","3335","3283","3226","3164","3119","3080","3030","2980","2927","2852","2783","2729","2664","2587","2531","2503","2490","2462","2405","2343","2425","2278","2231","2142","2054","1976","1907","1844","1789","",
"Pacific island small states","PSS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1721","1678","1634","1594","1557","1524","1501","1474","1448","1430","1415","1402","1406","1395","1398","1402","1411","1418","1411","1410","1380","1360","1343","1327","1316","1306","1297","1290","1284","1287","1272","1260","1244","",
"Post-demographic dividend","PST","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","115150","110595","106015","99670","92439","86808","82038","78485","75361","72609","70559","68275","65814","64396","63430","62292","61694","61453","60662","58932","56615","54572","53043","51623","50438","49598","48524","46935","45102","43476","41972","41113","40630","",
"French Polynesia","PYF","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Qatar","QAT","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","254","254","247","243","240","239","240","241","243","244","244","245","244","242","238","231","223","216","211","203","191","175","161","153","146","139","132","126","124","125","127","129","129","125","121","115","112","116","123","128","136","146","152","155","156","156","156","158","159","157","153","136","114","",
"Romania","ROU","Number of infant deaths","SH.DTH.IMRT","26713","22708","18410","15349","13603","12797","13282","21012","28965","26128","20640","17005","15298","14380","14474","14616","13794","12999","12314","11657","10987","10072","8812","7747","7753","8301","9033","9832","10028","9467","8097","6731","6104","5840","5648","5385","5061","4890","4727","4404","4070","3814","3690","3672","3590","3454","3231","2949","2801","2696","2466","2154","1947","1785","1654","1579","1490","1405","1291","1165","1077","1046","1068","",
"Russian Federation","RUS","Number of infant deaths","SH.DTH.IMRT","101737","92411","82719","73139","64158","56739","51525","47791","45169","43816","43523","44114","44945","45457","46164","46998","47679","48341","48816","49007","48861","48780","49249","50131","50168","48766","47285","46108","43579","39749","36065","32733","29604","26919","25569","24869","23846","22685","21691","20643","19873","19595","19338","18911","18101","16861","15725","15258","15185","15139","15074","15013","15030","14753","13989","12916","11610","9909","8379","7252","6363","5761","5300","",
"Rwanda","RWA","Number of infant deaths","SH.DTH.IMRT","19450","19323","19221","19122","19103","19269","19734","20467","21479","22681","23950","25236","26613","28197","29937","31791","33666","35072","35464","35024","34007","32807","31726","30943","30312","29716","29281","29152","29134","29241","29820","31203","33381","36353","68542","33841","30374","35346","38895","38034","35665","32925","30041","27417","25018","22985","21130","19512","18055","16900","15746","14462","13756","13224","12884","12684","12584","12487","12358","12180","11959","11773","11587","",
"South Asia","SAS","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3342236","3275247","3216096","3153380","3099185","3044930","2978070","2909197","2840681","2767844","2701472","2642642","2571223","2484848","2399169","2302002","2203616","2120361","2042144","1967132","1890879","1811656","1732870","1654514","1563920","1479134","1413045","1343235","1278222","1216966","1154029","1103608","1062414","",
"Saudi Arabia","SAU","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","34110","33630","33181","32397","31308","30358","29483","28672","27896","27130","26343","25540","24620","23598","22506","21376","20280","19182","18113","17102","16133","15199","14306","13500","12794","12167","11604","11095","10517","9857","9171","8506","7931","7614","7504","7287","6982","6686","6386","6063","5709","5343","4981","4646","4406","4242","4087","3948","3698","3419","",
"Sudan","SDN","Number of infant deaths","SH.DTH.IMRT","40885","41446","42340","43490","44640","45737","46843","48030","49088","50211","51496","52906","54131","55022","56046","57599","59577","61645","63957","66367","68723","71199","73780","94479","95214","95150","76555","76309","75610","74866","74029","73277","72510","71430","70405","69597","68771","67797","66775","66017","65356","64672","63694","62411","60989","59731","59700","60671","61633","62147","62309","61767","60562","60022","60056","60431","60532","60206","59993","59635","58917","57847","56719","",
"Senegal","SEN","Number of infant deaths","SH.DTH.IMRT","20430","20979","21590","22190","22795","23431","24065","24677","25225","25724","26192","26579","26847","26974","27012","26971","26824","26541","26125","25684","25377","25208","25064","24870","24556","24114","23507","22891","22325","21953","21964","22128","22393","22843","23302","23789","24305","24767","25121","25369","25286","24762","24074","23370","22625","21957","21518","20992","20426","20145","19873","19529","19228","18882","18489","17936","17351","16922","16616","16350","16046","15794","15532","",
"Singapore","SGP","Number of infant deaths","SH.DTH.IMRT","2356","2122","1927","1806","1717","1589","1470","1341","1182","1054","965","916","891","824","690","565","521","491","465","474","487","477","448","414","387","381","349","329","357","344","332","303","255","234","218","214","200","188","170","143","149","137","120","115","106","103","102","105","107","107","106","107","113","113","113","115","102","88","83","81","79","78","76","",
"Solomon Islands","SLB","Number of infant deaths","SH.DTH.IMRT","658","653","644","634","622","608","593","576","557","539","521","503","484","467","452","461","423","411","401","393","387","382","379","377","377","377","378","378","378","378","378","377","376","377","378","381","382","381","381","383","385","387","390","392","395","397","400","402","402","400","399","399","398","397","395","389","382","373","363","355","347","338","331","",
"Sierra Leone","SLE","Number of infant deaths","SH.DTH.IMRT","","23826","23931","24058","24180","24213","24238","24290","24324","24307","24315","24372","24430","24497","24659","24785","24849","24947","25108","25257","25379","25567","25846","26163","26528","26903","27290","27764","28238","28658","29099","30091","30245","29591","29332","29061","28736","28474","28310","28032","27600","27647","28534","29144","28953","28638","28396","27924","27353","26826","26243","25696","25173","24489","23931","23748","22448","22065","21708","21265","20790","20299","19839","",
"El Salvador","SLV","Number of infant deaths","SH.DTH.IMRT","15931","16076","16244","16364","16446","16478","16443","16365","16227","16025","15823","15732","15680","15553","15370","15139","14851","14528","14148","13738","14703","12822","12200","11513","10890","10277","9719","9344","9038","8659","8248","7853","7469","7085","6715","6345","5956","5566","5242","4926","4548","4144","3731","3362","3041","2765","2547","2359","2197","2067","1958","1865","1772","1684","1609","1529","1425","1323","1238","1176","1124","1075","1028","",
"San Marino","SMR","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","4","3","3","3","3","3","2","2","2","2","2","2","2","2","2","1","1","1","1","1","1","1","1","1","1","1","1","1","1","0","0","0","0","0","0","0","0","",
"Somalia","SOM","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","33499","34324","35364","36671","37968","38954","38465","37124","36172","34603","33496","34720","36347","37608","39044","40452","42023","43598","45191","46902","48515","50069","51640","52995","53771","54194","54085","53620","53241","52303","51445","51433","51501","51496","51321","51215","51166","51017","50757","50488","",
"Serbia","SRB","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","3616","3371","3228","3049","2677","2318","2106","1954","1848","1711","1537","1357","1159","902","759","791","835","817","746","641","545","485","458","461","462","460","453","441","423","402","385","368","357","349","341","330","313","293","",
"Sub-Saharan Africa (excluding high income)","SSA","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2384526","2408962","2433166","2458282","2507109","2497708","2513921","2514087","2501848","2491280","2478436","2455527","2427327","2393717","2358930","2328148","2302166","2274414","2249686","2226447","2203017","2180550","2157295","2133469","2116383","2102174","2086689","2070922","2054738","2039662","2022445","2003144","1982049","",
"South Sudan","SSD","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","34507","34645","34835","35904","37547","39018","40074","40280","40147","39573","38439","37855","37636","37088","36559","36254","35972","35486","34621","33715","33073","32527","31906","30893","29580","28319","27076","26288","26105","26134","26020","26262","26796","27236","27645","26796","25550","23922","21309","19591","19385","19692","19846","",
"Sub-Saharan Africa","SSF","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2384549","2408984","2433187","2458303","2507130","2497728","2513940","2514105","2501865","2491297","2478453","2455544","2427344","2393734","2358947","2328166","2302184","2274433","2249706","2226467","2203037","2180570","2157316","2133490","2116403","2102195","2086711","2070944","2054760","2039684","2022466","2003165","1982069","",
"Small states","SST","Number of infant deaths","SH.DTH.IMRT","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","18081","17797","17535","17013","16444","15953","15457","15035","14627","14302","14015","13709","13433","13144","12844","12549","11915","11645","11445","11083","10664","10249","9976","9692","9482","9142","8833","8632","8296","8067","7864","7599","7382","",
